expr,ic,weight
10 close low sub sign add,0.3908262892286992,0.09090909090909091
5 high close sub signed_sqrt sub,0.4036835257445428,0.09090909090909091
5 close 5 ts_rank sub,-0.39879504541746036,0.09090909090909091
0.1 close 5 ts_zscore signed_sqrt sub,-0.4084867506021194,0.09090909090909091
0.1 close high sub sign div,0.38849908489670737,0.09090909090909091
close low 3 add abs_ div,0.3878256658369188,0.09090909090909091
close 0.5 add 5 ts_rank neg,-0.39733226629432467,0.09090909090909091
low 3 close sub div,0.38783016812077964,0.09090909090909091
1 close neg low add mul,-0.3874249115219921,0.09090909090909091
high open neg sub close div,-0.39054115010918006,0.09090909090909091
